0522c0057,Inference
0522c0195,Inference
0522c0132,Inference
0522c0149,Inference
0522c0248,Inference
0522c0251,Inference
0522c0013,Inference
0522c0147,Inference
0522c0009,Inference
0522c0226,Inference
0522c0081,Inference
0522c0070,Inference
0522c0017,Inference
0522c0014,Inference
0522c0328,Inference
0522c0159,Inference
0522c0079,Inference
0522c0161,Inference
0522c0002,Inference
0522c0001,Inference
0522c0190,Inference
0522c0253,Inference
0522c0077,Inference
0522c0125,Inference
0522c0003,Inference
0522c0727,Inference
0522c0659,Inference
0522c0667,Inference
0522c0746,Inference
0522c0598,Inference
0522c0555,Inference
0522c0661,Inference
0522c0669,Inference
0522c0708,Inference
0522c0788,Inference
0522c0806,Inference
0522c0845,Inference
0522c0857,Inference
0522c0878,Inference